No,OutputAngleInputAngle,OutputAngleLeftDistance,OutputAngleCenterDistance,OutputAngleRightDistance,OutputAngleRule,OutputAngle
 1,-0.8500,120.0000,120.0000,120.0000,far left & far & far & far => far left,-0.7958
 2,-0.8500,120.0000,120.0000,70.0000,far left & far & far & medium => far left,-0.7958
 3,-0.8500,120.0000,120.0000,20.0000,far left & far & far & near => far left,-0.7958
 4,-0.8500,120.0000,70.0000,120.0000,far left & far & medium & far => far left,-0.7958
 5,-0.8500,120.0000,70.0000,70.0000,far left & far & medium & medium => far left,-0.7958
 6,-0.8500,120.0000,70.0000,20.0000,far left & far & medium & near => far left,-0.7958
 7,-0.8500,120.0000,20.0000,120.0000,far left & far & near & far => far left,-0.7958
 8,-0.8500,120.0000,20.0000,70.0000,far left & far & near & medium => far left,-0.7958
 9,-0.8500,120.0000,20.0000,20.0000,far left & far & near & near => far left,-0.7958
10,-0.8500,70.0000,120.0000,120.0000,far left & medium & far & far => center,-0.0000
11,-0.8500,70.0000,120.0000,70.0000,far left & medium & far & medium => center,-0.0000
12,-0.8500,70.0000,120.0000,20.0000,far left & medium & far & near => center,-0.0000
13,-0.8500,70.0000,70.0000,120.0000,far left & medium & medium & far => mid right,0.4000
14,-0.8500,70.0000,70.0000,70.0000,far left & medium & medium & medium => far left,-0.7958
15,-0.8500,70.0000,70.0000,20.0000,far left & medium & medium & near => far left,-0.7958
16,-0.8500,70.0000,20.0000,120.0000,far left & medium & near & far => far right,0.7444
17,-0.8500,70.0000,20.0000,70.0000,far left & medium & near & medium => far left,-0.7958
18,-0.8500,20.0000,20.0000,20.0000,far left & medium & near & near => far left,-0.7958
19,-0.8500,20.0000,120.0000,120.0000,far left & near & far & far => center,-0.0000
20,-0.8500,20.0000,120.0000,70.0000,far left & near & far & medium => center,-0.0000
21,-0.8500,20.0000,120.0000,20.0000,far left & near & far & near => center,-0.0000
22,-0.8500,20.0000,70.0000,120.0000,far left & near & medium & far => mid right,0.4000
23,-0.8500,20.0000,70.0000,70.0000,far left & near & medium & medium => center,-0.0000
24,-0.8500,20.0000,70.0000,20.0000,far left & near & medium & near => center,-0.0000
25,-0.8500,20.0000,20.0000,120.0000,far left & near & near & far => far right,0.7444
26,-0.8500,20.0000,20.0000,70.0000,far left & near & near & medium => far right,0.7444
27,-0.8500,20.0000,20.0000,20.0000,far left & near & near & near => far left,-0.7958
28,-0.4000,120.0000,120.0000,120.0000,mid left & far & far & far => mid left,-0.4000
29,-0.4000,120.0000,120.0000,70.0000,mid left & far & far & medium => mid left,-0.4000
30,-0.4000,120.0000,120.0000,20.0000,mid left & far & far & near => mid left,-0.4000
31,-0.4000,120.0000,70.0000,120.0000,mid left & far & medium & far => mid left,-0.4000
32,-0.4000,120.0000,70.0000,70.0000,mid left & far & medium & medium => mid left,-0.4000
33,-0.4000,120.0000,70.0000,20.0000,mid left & far & medium & near => mid left,-0.4000
34,-0.4000,120.0000,20.0000,120.0000,mid left & far & near & far => mid left,-0.4000
35,-0.4000,120.0000,20.0000,70.0000,mid left & far & near & medium => mid left,-0.4000
36,-0.4000,120.0000,20.0000,20.0000,mid left & far & near & near => mid left,-0.4000
37,-0.4000,70.0000,120.0000,120.0000,mid left & medium & far & far => center,-0.0000
38,-0.4000,70.0000,120.0000,70.0000,mid left & medium & far & medium => center,-0.0000
39,-0.4000,70.0000,120.0000,20.0000,mid left & medium & far & near => center,-0.0000
40,-0.4000,70.0000,70.0000,120.0000,mid left & medium & medium & far => mid right,0.4000
41,-0.4000,70.0000,70.0000,70.0000,mid left & medium & medium & medium => mid left,-0.4000
42,-0.4000,70.0000,70.0000,20.0000,mid left & medium & medium & near => mid left,-0.4000
43,-0.4000,70.0000,20.0000,120.0000,mid left & medium & near & far => mid right,0.4000
44,-0.4000,70.0000,20.0000,70.0000,mid left & medium & near & medium => mid left,-0.4000
45,-0.4000,20.0000,20.0000,20.0000,mid left & medium & near & near => mid left,-0.4000
46,-0.4000,20.0000,120.0000,120.0000,mid left & near & far & far => center,-0.0000
47,-0.4000,20.0000,120.0000,70.0000,mid left & near & far & medium => center,-0.0000
48,-0.4000,20.0000,120.0000,20.0000,mid left & near & far & near => center,-0.0000
49,-0.4000,20.0000,70.0000,120.0000,mid left & near & medium & far => mid right,0.4000
50,-0.4000,20.0000,70.0000,70.0000,mid left & near & medium & medium => center,-0.0000
51,-0.4000,20.0000,70.0000,20.0000,mid left & near & medium & near => center,-0.0000
52,-0.4000,20.0000,20.0000,120.0000,mid left & near & near & far => far right,0.7444
53,-0.4000,20.0000,20.0000,70.0000,mid left & near & near & medium => far right,0.7444
54,-0.4000,20.0000,20.0000,20.0000,mid left & near & near & near => mid left,-0.4000
55,0.0000,120.0000,120.0000,120.0000,center & far & far & far => center,-0.0000
