fuzzyInput,left,centre, right,fuzzyOutput,fuzzyInterval
-0.29,400,75.98,11.27,-0.43,0.162212849
-0.43,400,75.98,11.27,-0.4,0.158637762
-0.29,400,75.98,11.27,-0.43,0.159416437
-0.43,400,75.98,11.27,-0.4,0.016243935
-0.29,400,61.76,11.27,-0.43,0.154709339
-0.29,331.14,61.76,11.07,-0.43,0.14778924
-0.29,331.14,61.76,11.07,-0.43,0.16898942
-0.29,331.14,61.76,11.07,-0.43,0.035478592
-0.29,331.14,61.76,11.07,-0.43,0.013230085
-0.29,331.14,61.76,11.07,-0.43,0.013523817
-0.29,331.14,113.33,11.1,-0.4,0.14675045
-0.29,197.57,113.33,11.1,-0.4,0.167841196
-0.29,197.57,113.33,11.1,-0.4,0.013249397
-0.29,197.57,113.33,11.1,-0.4,0.013505459
-0.29,197.57,113.33,11.1,-0.4,0.013311625
-0.29,197.57,113.33,11.1,-0.4,0.013613701
-0.29,197.57,113.33,11.1,-0.4,0.013533831
-0.29,197.57,190.44,11.25,-0.37,0.154343843
-0.14,135.03,190.44,11.25,-0.37,0.162818193
-0.14,135.03,190.44,11.25,-0.37,0.015423298
-0.29,135.03,190.44,11.25,-0.38,0.165193558
-0.29,135.03,190.44,11.25,-0.38,0.013240099
-0.29,135.03,126.6,11,-0.4,0.174050093
-0.29,134.81,126.6,11,-0.4,0.192147017
-0.14,134.81,126.6,11,-0.4,0.157539845
-0.29,134.81,56.02,11,-0.4,0.177551985
-0.29,134.81,56.02,10.83,-0.43,0.161877871
-0.29,266.22,56.02,10.83,-0.43,0.175531864
-0.29,266.22,56.02,10.83,-0.43,0.013482809
-0.29,266.22,56.02,10.83,-0.43,0.013636351
-0.29,266.22,56.02,10.83,-0.43,0.020100832
-0.29,266.22,56.02,10.83,-0.43,0.013554096
-0.29,266.22,120.68,10.83,-0.4,0.153003693
-0.29,400,120.68,10.84,-0.4,0.168333769
-0.29,400,120.68,10.84,-0.4,0.152797222
-0.29,400,120.68,10.84,-0.4,0.015917778
-0.29,400,120.68,10.84,-0.4,0.01333046
-0.29,400,117.65,10.84,-0.4,0.179596663
-0.14,400,117.65,10.58,-0.4,0.186127424
-0.29,400,117.65,10.58,-0.4,0.159084558
-0.29,400,117.65,10.58,-0.4,0.015639305
-0.29,400,117.65,10.58,-0.4,0.013884068
-0.29,400,46.06,10.58,-0.4,0.015229464
-0.29,400,46.06,10.77,-0.43,0.180605888
-0.29,266.68,46.06,10.77,-0.43,0.164480686
-0.29,266.68,46.06,10.77,-0.43,0.013281345
-0.29,266.68,46.06,10.77,-0.43,0.013600349
-0.29,266.68,46.06,10.77,-0.43,0.014306068
-0.29,266.68,46.06,10.77,-0.43,0.013502121
-0.29,266.68,35.51,10.77,-0.43,0.151810884
-0.29,266.68,35.51,10.77,-0.43,0.013555527
-0.29,133.6,35.51,10.77,-0.43,0.150022984
-0.29,133.6,35.51,10.77,-0.43,0.013537884
-0.29,133.6,35.51,10.77,-0.43,0.014705658
-0.29,133.6,35.51,10.77,-0.43,0.013302088
-0.29,133.6,35.51,10.77,-0.43,0.013607025
-0.29,133.6,40.77,10.77,-0.43,0.160158157
-0.29,102.8,40.77,10.58,-0.43,0.18888545
-0.29,102.8,40.77,10.58,-0.43,0.165190935
-0.29,102.8,40.77,10.58,-0.43,0.016701698
-0.29,102.8,40.77,10.58,-0.43,0.013324261
-0.29,102.8,50.74,10.58,-0.43,0.149005651
-0.29,119.89,50.74,10.64,-0.43,0.172310352
-0.29,119.89,50.74,10.64,-0.43,0.158896208
-0.29,119.89,50.74,10.64,-0.43,0.013427734
-0.29,119.89,50.74,10.64,-0.43,0.013356924
-0.29,119.89,50.74,10.64,-0.43,0.014623165
-0.29,119.89,50.98,10.63,-0.43,0.181666613
-0.29,231.72,50.98,10.63,-0.43,0.176137447
-0.29,231.72,50.98,10.63,-0.43,0.145807505
-0.29,231.72,50.98,10.63,-0.43,0.024677753
-0.29,231.72,50.98,10.63,-0.43,0.013238668
-0.29,231.72,59.51,10.82,-0.43,0.157855988
